location,site,plot,quadrat,covered,seedlingCnt.may.2012,seedlingCnt.jun.2012,seedlingCnt.fall.2012,may.to.fall.2012.mortality,may.to.fall.2012.missing
unh,wff,WFFSB1,NE,1,0,,2,0,
unh,wff,WFFSB1,NW,0,1,,3,1,
unh,wff,WFFSB1,SW,1,0,,3,0,
unh,wff,WFFSB1,SE,0,0,,4,0,
unh,wff,WFFSB2,NE,1,0,,14,0,
unh,wff,WFFSB2,NW,0,1,,38,1,
unh,wff,WFFSB2,SW,1,0,,9,0,
unh,wff,WFFSB2,SE,0,0,,18,0,
unh,wff,WFFSB3,NE,1,5,,3,4,
unh,wff,WFFSB3,NW,0,5,,13,1,1
unh,wff,WFFSB3,SW,1,2,,2,1,
unh,wff,WFFSB3,SE,0,9,,6,3,
unh,wff,WFFSB4,NE,1,0,,1,0,
unh,wff,WFFSB4,NW,0,0,,1,0,
unh,wff,WFFSB4,SW,1,0,,3,0,
unh,wff,WFFSB4,SE,0,0,,0,0,
unh,wff,WFFSB5,NE,0,0,,3,0,
unh,wff,WFFSB5,NW,1,0,,0,0,
unh,wff,WFFSB5,SW,0,0,,5,0,
unh,wff,WFFSB5,SE,1,0,,1,0,
unh,wff,WFFSB6,NE,1,0,,0,0,
unh,wff,WFFSB6,NW,0,0,,0,0,
unh,wff,WFFSB6,SW,1,0,,0,0,
unh,wff,WFFSB6,SE,0,0,,0,0,
unh,wff,WFFSB7,NE,1,0,,0,0,
unh,wff,WFFSB7,NW,0,1,,0,1,
unh,wff,WFFSB7,SW,1,0,,0,0,
unh,wff,WFFSB7,SE,0,0,,0,0,
unh,wff,WFFSB8,NE,1,0,,7,0,
unh,wff,WFFSB8,NW,0,0,,22,0,
unh,wff,WFFSB8,SW,1,0,,13,0,
unh,wff,WFFSB8,SE,0,0,,17,0,
unh,wff,WFFSB9,NE,1,0,,1,0,
unh,wff,WFFSB9,NW,0,0,,4,0,
unh,wff,WFFSB9,SW,1,0,,0,0,
unh,wff,WFFSB9,SE,0,0,,5,0,
unh,wff,WFFSB10,NE,1,0,,0,0,
unh,wff,WFFSB10,NW,0,0,,2,0,
unh,wff,WFFSB10,SW,1,0,,1,0,
unh,wff,WFFSB10,SE,0,0,,0,0,
li,caleb_smith,CS-SB1,NE,0,0,0,0,,
li,caleb_smith,CS-SB1,NW,1,0,0,0,,
li,caleb_smith,CS-SB1,SW,0,0,1,1,,
li,caleb_smith,CS-SB1,SE,1,0,0,0,,
li,caleb_smith,CS-SB2,NE,0,0,0,0,,
li,caleb_smith,CS-SB2,NW,1,0,0,0,,
li,caleb_smith,CS-SB2,SW,0,0,0,0,,
li,caleb_smith,CS-SB2,SE,1,0,0,0,,
li,caleb_smith,CS-SB3,NE,1,0,0,0,,
li,caleb_smith,CS-SB3,NW,0,0,0,0,,
li,caleb_smith,CS-SB3,SW,1,2,1,2,,1
li,caleb_smith,CS-SB3,SE,0,0,0,0,,
li,caleb_smith,CS-SB4,NE,0,0,0,0,,
li,caleb_smith,CS-SB4,NW,1,0,0,0,,
li,caleb_smith,CS-SB4,SW,0,0,0,0,,
li,caleb_smith,CS-SB4,SE,1,0,2,0,2,
li,caleb_smith,CS-SB5,NE,1,0,0,0,,
li,caleb_smith,CS-SB5,NW,0,0,1,1,,
li,caleb_smith,CS-SB5,SW,1,0,0,0,,
li,caleb_smith,CS-SB5,SE,0,0,0,0,,
li,caleb_smith,CS-SB6,NE,1,0,0,0,,
li,caleb_smith,CS-SB6,NW,0,2,0,2,,
li,caleb_smith,CS-SB6,SW,1,0,0,0,,
li,caleb_smith,CS-SB6,SE,0,1,0,0,1,
li,caleb_smith,CS-SB7,NE,1,0,0,0,,
li,caleb_smith,CS-SB7,NW,0,0,0,0,,
li,caleb_smith,CS-SB7,SW,1,0,0,0,,
li,caleb_smith,CS-SB7,SE,0,0,0,0,,
li,caleb_smith,CS-SB8,NE,0,0,0,0,,
li,caleb_smith,CS-SB8,NW,1,0,1,0,1,
li,caleb_smith,CS-SB8,SW,0,0,0,0,,
li,caleb_smith,CS-SB8,SE,1,0,0,0,,
li,caleb_smith,CS-SB9,NE,0,0,0,0,,
li,caleb_smith,CS-SB9,NW,1,0,0,0,,
li,caleb_smith,CS-SB9,SW,0,0,0,0,,
li,caleb_smith,CS-SB9,SE,1,0,0,0,,
li,caleb_smith,CS-SB10,NE,1,0,1,1,,
li,caleb_smith,CS-SB10,NW,0,0,0,0,,
li,caleb_smith,CS-SB10,SW,1,0,0,0,,
li,caleb_smith,CS-SB10,SE,0,0,0,0,,
