location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,caleb_smith,2011,2166,1,0.51,62,4,0,,,,0.61,63,3,0,,,,
long_island,caleb_smith,2012,CS12-135,1,,,,,,,,0.17,12,1,0,,,,
long_island,caleb_smith,2011,2114,2,1.91,362,1,0,,0,,1.91,374,1,0,,,,
long_island,caleb_smith,2012,CS12-131,2,,,,,,0,,0.09,10,1,0,,"Middle of S edge, 1' in",,
long_island,caleb_smith,2012,CS12-132,2,,,,,,0,,0.24,24,1,0,,Next to unmarked buckthorn,,
long_island,caleb_smith,2012,CS12-134,2,,,,,,0,,0.13,15,1,0,,1' from NW flag,,
long_island,caleb_smith,2011,P2-2,2,0.1,9,1,0,,0,,NA,NA,NA,NA,,Not found,,
long_island,caleb_smith,2011,2076,3,0.55,117,1,0,,0,,0.56,117,1,0,,,,
long_island,caleb_smith,2011,2077,3,0.88,184,3,0,fallen over,0,,0.82,187,4,0,,largest stem dead,,
long_island,caleb_smith,2011,2078,3,0.49,75,1,0,,0,,0.53,76,1,0,,,,
long_island,caleb_smith,2011,2079,3,0.28,43,1,0,,0,,0.31,53,1,0,,,,
long_island,caleb_smith,2011,2080,3,0.33,22,1,0,,0,,0.25,24,1,0,,,,
long_island,caleb_smith,2011,2081,3,0.23,30,1,0,,0,,0.23,33,1,0,,,,
long_island,caleb_smith,2011,2082,3,0.24,16,1,0,,0,,NA,NA,NA,NA,,Missing / Not Found,,
long_island,caleb_smith,2011,2083,3,0.54,106,4,0,,0,,0.56,117,4,0,,,,
long_island,caleb_smith,2011,2084,3,0.34,83,2,0,top may be dead,0,,0.17,17,5,0,,Larger stem gone,,
long_island,caleb_smith,2011,2085,3,0.41,82,1,0,,0,,0.41,73,1,0,,,,
long_island,caleb_smith,2011,2086,3,0.23,23,2,0,one stem may be dead,0,,0.22,24,1,0,,One stem this year,,
long_island,caleb_smith,2011,2087,3,0.26,44,1,0,from bigger dead steam,0,,0.23,31,2,0,,Taller stem dead,,
long_island,caleb_smith,2011,2088,3,0.38,62,1,0,,0,,0.4,59,1,0,,,,
long_island,caleb_smith,2011,2089,3,0.34,61,1,0,,0,,0.4,62,1,0,,,,
long_island,caleb_smith,2011,2090,3,0.22,61,1,0,,0,,NA,NA,NA,NA,,,,
long_island,caleb_smith,2011,2091,3,0.4,86,3,0,,0,,0.4,98,3,0,,,,
long_island,caleb_smith,2011,2092,3,0.42,108,2,0,,0,,0.48,116,2,0,,,,
long_island,caleb_smith,2011,CS-1,3,0.22,32,1,0,,0,,0.22,34,1,0,,,,
long_island,caleb_smith,2011,CS-2,3,0.23,28,1,0,,0,,0.2,28,1,0,,,,
long_island,caleb_smith,2011,CS-3,3,0.21,39,1,0,,0,,0.18,40,1,0,,,,
long_island,caleb_smith,2012,CS12-146,3,,,,,,0,,0.08,8,1,0,,,,
long_island,caleb_smith,2012,CS12-147,3,,,,,,0,,0.14,11,1,0,,,,
long_island,caleb_smith,2012,CS12-150,3,,,,,,0,,0.19,16,1,0,,,,
long_island,caleb_smith,2012,CS12-151,3,,,,,,0,,0.08,9,1,0,,,,
long_island,caleb_smith,2012,CS12-152,3,,,,,,0,,0.15,21,1,0,,,,
long_island,caleb_smith,2012,CS12-153,3,,,,,,0,,0.2,12,1,0,,,,
long_island,caleb_smith,2011,P3-3,3,,,,,,0,,0.1,17,1,0,,,,
long_island,caleb_smith,2011,P3-4,3,0.14,14,1,0,,0,,0.14,14,1,0,,,,
long_island,caleb_smith,2011,P3-5,3,,,,,,0,,0.1,17,1,0,,,,
long_island,caleb_smith,2011,P3-7,3,,,,,,0,,0.09,8,1,0,,,,
long_island,caleb_smith,2011,P3-8,3,0.1,14,1,0,,0,,0.1,14,1,0,,,,
long_island,caleb_smith,2011,P3-9,3,,,,,,0,,0.13,16,1,0,,,,
long_island,caleb_smith,2011,2060,4,0.98,187,2,0,,0,,1.15,187,2,0,,,,
long_island,caleb_smith,2011,2061,4,0.52,97,1,0,,0,,0.52,94,1,0,,,,
long_island,caleb_smith,2011,2062,4,2.47,401,10,0,height = 400-450,7,,2.44,451,9,0,,,2.65,
long_island,caleb_smith,2011,2093,5,0.3,57,2,0,,0,,0.29,58,1,0,,,,
long_island,caleb_smith,2011,2053,6,0.61,118,1,0,,0,,0.59,124,1,0,,,,
long_island,caleb_smith,2011,2054,7,0.36,44,1,0,,0,,0.4,58,1,0,,,,
long_island,caleb_smith,2011,2055,7,1.21,231,1,0,,0,,1.15,139,1,0,,top broken,1.35,
long_island,caleb_smith,2011,2056,7,1.13,208,1,0,,0,,1.32,223,1,0,,,,
long_island,caleb_smith,2011,2057,7,0.18,17,2,0,also marked with white clip,0,,0.22,17,2,0,,possibly dead,,
long_island,caleb_smith,2011,2058,7,0.33,40,2,0,,0,,0.31,42,2,0,,,,
long_island,caleb_smith,2011,2059,7,0.3,37,2,0,,0,,0.33,45,2,0,,,,
long_island,caleb_smith,2011,2094,8,1.32,211,1,0,,0,,1.38,70,1,0,,Height at top = 215; broken top,,
long_island,caleb_smith,2011,2095,8,0.47,83,1,0,,0,,0.52,87,1,0,,,,
long_island,caleb_smith,2011,2096,8,0.48,79,1,0,,0,,0.5,79,1,0,,,,
long_island,caleb_smith,2011,2097,8,0.45,52,1,0,,0,,0.52,57,1,0,,,,
