location,site,year1stTag,tag,subplot,type2010,dah2010.cm,height2010.cm,basal_stems2010,fruit2010,damage2010,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.aug.2012,fruit.err.aug.2012,notes.aug.2012,dah.2012,hgt.2012,basal.stem.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
unh,eff,2010,201,12,seed,0.16,19,1,0,1,0.19,27,1,0,,0,,,0.18,31,2,0,,,,
unh,eff,2010,202,13,seed,0.38,20,1,0,1,0.39,27,1,0,,0,,dead - tag left,NA,NA,NA,NA,,dead; tag present,,1
unh,eff,2010,335,19,seed,0.29,51,1,0,1,0.36,68,1,0,,0,,under log,0.39,80,1,0,,,,
unh,eff,2010,336,19,sap,0.85,111,1,0,0,1.21,169,1,0,,0,,,1.67,216,1,0,,,,
unh,eff,2010,337,19,seed,0.32,38,1,0,1,0.86,99,1,0,,0,,,0.85,153,1,0,,,,
unh,eff,2010,206,25,nra,1.86,401,8,0,1,2.08,401,8,0,,26,,,2.02,401,7,0,,,,
unh,eff,2010,203,27,sap,0.78,145,1,0,0,0.78,118,1,0,top partially dead,0,,,0.79,129,1,0,,top dead,,
unh,eff,2010,204,27,seed,0.26,21,1,0,0,0.21,27,1,0,,0,,,0.24,29,1,0,,,,
unh,eff,2010,205,27,seed,0.16,21,1,0,0,0.19,25,1,0,,0,,,0.18,20,1,0,,,,
unh,eff,2010,207,31,seed,0.32,39,4,0,0,0.47,63,2,0,,0,,,0.63,92,2,0,,,,
unh,eff,2010,208,31,seed,0.42,75,1,0,0,0.55,91,1,0,,0,,,0.71,108,1,0,,,,
unh,eff,2010,209,34,seed,0.31,32,2,0,0,0.34,51,1,0,,0,,,0.46,81,1,0,,,,
unh,eff,2010,210,34,sap,0.44,74,1,0,0,0.57,104,1,0,,0,,,0.7,134,1,0,,,,
unh,eff,2010,211,34,seed,0.35,57,1,0,0,0.48,91,1,0,,0,,,0.57,119,1,0,,,,
unh,eff,2010,214,34,sap,0.58,95,1,0,0,0.75,120,1,0,,0,,,0.83,172,1,0,,,,
unh,eff,2010,213,35,seed,0.23,29,1,0,0,0.36,41,1,0,,0,,,0.37,64,1,0,,,,
unh,eff,2010,338,44,sap,0.98,110,1,0,1,0.45,106,2,0,one stem dead; most of plant dead,0,,new stem growth,0.47,116,2,0,,,,
unh,eff,2010,339,44,seed,0.25,52,1,0,1,0.26,55,1,0,,0,,,0.27,54,1,0,,stems - one alive and one dead,,
unh,eff,2010,212,49,nra,2.29,390,1,0,0,2.48,401,1,5,,75,10,flag marked 91,2.55,401,1,0,,,,
unh,eff,2010,215,51,seed,0.21,34,1,0,1,0.26,44,1,0,,0,,,0.23,55,1,0,,,,
unh,eff,2010,216,51,sap,0.48,103,4,0,1,0.51,120,4,0,,0,,,0.52,130,4,0,,,,
unh,eff,2010,217,51,sap,0.54,124,5,0,0,0.68,139,4,0,some basal stems dead,0,,,0.63,153,3,0,,"stems = 3 alive, 1 dead",,
unh,eff,2010,218,51,seed,0.39,52,6,0,1,0.41,51,4,0,four living stems; partly dead,0,,,0.39,56,4,0,,,,
unh,eff,2010,219,61,sap,0.51,114,1,0,0,0.61,119,1,0,,0,,,0.67,132,1,0,,,,
unh,eff,2010,220,61,seed,0.19,34,3,0,1,0.26,50,3,0,,0,,,0.35,77,3,0,,,,
unh,eff,2010,221,62,nra,1.39,211,2,0,0,1.45,255,2,1,,13,,,1.46,280,2,0,,,,
unh,eff,2010,222,62,sap,0.93,123,1,0,0,1,156,1,0,,0,,,1.04,178,1,0,,,,
unh,eff,2010,223,62,sap,0.61,118,2,0,0,0.81,144,3,0,,1,,,0.9,165,3,0,,,,
unh,eff,2010,224,62,seed,0.25,49,1,0,0,0.38,60,1,0,,0,,,0.45,79,1,0,,,,
unh,eff,2010,225,62,seed,0.3,51,1,0,0,0.42,67,1,0,,0,,,0.41,88,1,0,,,,
unh,eff,2010,226,63,sap,0.91,153,1,0,0,1.02,167,1,0,,4,,,1.22,195,1,0,,,,
unh,eff,2010,227,63,sap,0.66,124,1,0,1,0.74,143,1,0,,0,,,0.82,164,2,0,,,,
unh,eff,2010,228,63,seed,0.38,57,1,0,0,0.45,76,1,0,,0,,,0.5,103,1,0,,,,
unh,eff,2010,229,66,sap,0.71,140,1,0,0,0.83,148,1,0,,0,,,0.75,164,3,0,,,,
unh,eff,2010,230,66,seed,0.37,61,1,0,0,0.59,100,1,0,,0,,,0.67,151,1,0,,,,
unh,eff,2010,231,66,nra,1.23,195,1,0,0,1.27,227,1,1,,0,,,1.45,251,1,0,,,,
unh,eff,2010,232,76,sap,0.86,144,1,0,0,0.94,161,1,0,,NA,,not found,0.98,179,1,0,,,,
unh,eff,2010,233,76,seed,0.23,35,1,0,0,0.28,43,1,0,,0,,,0.32,57,1,0,,,,
unh,eff,2010,234,76,seed,0.42,59,1,0,0,0.48,76,1,0,,0,,,0.65,102,1,0,,,,
unh,eff,2010,235,77,sap,0.67,119,1,0,0,0.77,139,1,0,,4,,,0.94,160,1,0,,,,
unh,eff,2010,236,77,sap,0.7,139,2,0,0,0.84,170,2,1,,1,,,0.96,194,2,0,,,,
unh,eff,2010,237,77,seed,0.34,55,1,0,0,0.39,65,1,0,plant lying down under tree,NA,,,0.36,78,2,0,,,,
unh,eff,2010,238,77,seed,0.37,40,1,0,0,0.42,63,1,0,,0,,,0.55,92,1,0,,,,
unh,eff,2010,239,82,seed,0.23,26,1,0,0,0.27,41,1,0,,0,,,0.31,56,1,0,,,,
unh,eff,2010,240,82,sap,0.59,147,2,0,0,0.68,157,3,0,,0,,,0.73,168,2,0,,,,
unh,eff,2010,241,82,seed,0.24,28,1,0,0,0.32,45,1,0,bent by fallen limb,NA,,,0.32,66,1,0,,,,
unh,eff,2010,242,84,ra,3.46,401,1,40,0,3.98,401,1,55,dah of 3.66 at thinest; fruit range 55-65,275,25,,3.89,501,1,0,,,4.32,
unh,eff,2010,243,84,sap,0.79,170,2,0,0,0.75,186,2,0,,6,,,0.9,200,2,0,,,,
unh,eff,2010,244,84,seed,0.28,41,1,0,0,0.3,50,1,0,,0,,,0.31,60,1,0,,,,
unh,eff,2010,245,84,nra,1.16,240,1,0,1,1.25,252,1,0,,3,,,1.29,292,1,0,,,,
unh,eff,2010,246,85,sap,0.65,140,5,0,0,0.7,84,5,0,"greatly damaged, maybe browsed",0,,,0.71,86,5,0,,,,
unh,eff,2010,340,88,ra,3.19,401,2,2,0,3.42,401,2,20,fruit range 15-20,350,25,,3.7,501,2,0,,,3.81,
unh,eff,2010,341,88,seed,0.33,53,1,0,0,0.36,57,2,0,leaves eaten,0,,,NA,NA,NA,NA,,dead; tag recovered,,1
unh,eff,2010,342,88,seed,0.38,59,1,0,0,0.38,69,1,0,leaves eaten,0,,,0.37,66,2,0,,,,
unh,eff,2010,247,92,seed,0.44,68,2,0,0,0.46,50,2,0,height recorded for stem with tag,NA,,not found,NA,NA,NA,NA,,Missing / Not Found,,
unh,eff,2010,248,92,sap,0.9,170,5,0,0,0.93,189,5,5,,2,,,1.01,209,5,0,,,,
unh,eff,2010,249,92,seed,0.25,34,1,0,0,NA,NA,NA,NA,dead,NA,,dead,NA,NA,NA,NA,,Dead,,1
unh,eff,2010,250,93,sap,0.8,120,1,0,1,0.94,150,2,0,,1,,,0.93,179,2,0,,,,
unh,eff,2010,251,93,nra,1.33,237,4,0,0,1.51,260,5,7,,15,,,1.56,288,5,0,,,,
unh,eff,2010,252,93,seed,0.27,37,3,0,0,0.33,50,4,0,,0,,1+ feet SSW from flag,0.34,60,4,0,,,,
unh,eff,2010,253,95,nra,1.11,172,2,0,0,1.21,199,2,0,,0,,,1.41,228,1,0,,,,
unh,eff,2010,254,95,sap,0.7,139,1,0,0,0.94,181,1,0,,0,,,1.15,232,1,0,,,,
unh,eff,2010,255,95,seed,0.26,27,1,0,0,0.34,55,1,0,,0,,,0.42,83,1,0,,,,
unh,eff,2010,256,95,seed,0.42,33,1,0,1,0.4,48,1,0,,0,,,0.38,62,1,0,,,,
unh,eff,2010,343,99,seed,0.45,56,1,0,0,0.45,67,1,0,damaged by fallen limb,0,,,0.42,34,1,0,,,,
unh,eff,2010,344,99,seed,0.3,49,1,0,0,0.35,60,2,0,2010 stem miscount,0,,,0.37,78,2,0,,,,
unh,eff,2010,345,99,ra,2.1,361,2,2,0,2.35,401,3,15,2010 stem miscount; fruit range 10-15,60,10,,2.33,401,3,0,,,,
unh,eff,2010,257,107,sap,0.97,182,1,0,0,1.1,209,2,1,barberry in plot,4,,,1.23,242,2,0,,,,
unh,eff,2010,258,107,seed,0.43,79,1,0,0,0.58,96,2,0,,0,,,0.61,120,2,0,,,,
unh,eff,2010,259,107,seed,0.46,75,1,0,1,0.51,91,1,0,,0,,,0.59,110,1,0,,,,
unh,eff,2010,260,109,sap,1.08,184,1,0,0,1.12,184,1,0,,0,,,1.13,213,1,0,,,,
unh,eff,2010,261,109,seed,0.3,62,2,0,0,0.32,70,2,0,,0,,,0.36,75,2,0,,,,
unh,eff,2010,262,109,ra,2.03,343,1,1,0,2.34,370,1,15,,115,15,,2.55,382,1,0,,,,
unh,eff,2010,263,114,nra,1.71,289,2,0,0,1.67,290,2,0,,0,,,1.66,298,1,0,,,,
unh,eff,2010,264,114,sap,0.8,134,1,0,0,0.67,137,1,0,,0,,,0.61,147,1,0,,,,
unh,eff,2010,265,114,seed,0.21,36,1,0,0,0.22,39,1,0,,0,,,0.2,34,2,0,,"Main stem dead, Measured new stem",,
unh,eff,2010,266,114,seed,0.43,64,4,0,0,0.4,73,1,0,flag positioned between 265 and 266,0,,,0.44,83,1,0,,,,
unh,eff,2010,267,120,sap,0.93,200,1,0,1,1.09,170,1,0,top dead and generally unhealthy plant,0,,,1.1,169,1,0,,,,
unh,eff,2010,346,122,seed,0.49,75,1,0,0,0.54,92,2,0,flag positioned between 346 and 347,0,,,0.65,113,2,0,,,,
unh,eff,2010,347,122,seed,0.34,42,1,0,1,0.35,45,4,0,,0,,,0.35,48,4,0,,,,
unh,eff,2010,268,123,ra,2.31,350,3,1,0,2.61,401,2,6,,90,10,,2.65,401,2,1,,,,
unh,eff,2010,269,123,seed,0.27,40,1,0,0,0.31,57,2,0,,0,,,0.35,75,2,0,,,,
unh,eff,2010,270,123,sap,0.56,106,1,0,0,0.62,121,1,0,flag repositioned,0,,,0.74,138,1,0,,,,
unh,eff,2010,271,123,seed,0.32,41,1,0,0,0.34,51,1,0,,0,,,0.45,66,1,0,,,,
unh,eff,2010,272,125,nra,0.94,163,2,0,0,1.08,187,2,0,,3,,,1.08,209,1,2,,Both fruit dried up,,
unh,eff,2010,273,125,sap,0.67,95,1,0,0,0.69,116,1,0,,0,,,0.75,125,1,0,,,,
unh,eff,2010,274,125,seed,0.36,27,2,0,0,0.49,81,1,0,one stem completely dead,0,,,0.45,114,1,0,,,,
unh,eff,2010,275,125,seed,0.3,45,1,0,0,0.32,57,1,0,,0,,,0.3,64,1,0,,,,
unh,eff,2010,276,129,sap,0.71,147,1,0,0,0.74,159,1,0,damaged by fallen limb,0,,,0.76,171,1,0,,,,
unh,eff,2010,277,129,seed,0.25,26,1,0,0,0.35,47,1,0,,0,,,0.4,71,1,0,,,,
unh,eff,2010,278,130,ra,2.92,400,1,7,0,3.28,401,2,15,fruit range 10-15; DAH 3.10 at thinest,135,15,,3.41,501,2,0,,,3.53,
unh,eff,2010,279,130,sap,0.84,199,1,1,0,0.85,212,1,0,,1,,,0.98,225,1,0,,,,
unh,eff,2010,280,130,seed,0.35,35,1,0,0,0.3,46,1,0,,NA,,not found,0.29,52,1,0,,,,
unh,eff,2010,281,130,seed,0.28,42,1,0,0,0.38,59,1,0,,0,,,0.38,70,1,0,,,,
unh,eff,2010,282,137,seed,0.32,51,3,0,0,0.19,33,3,0,main stem died,0,,,0.2,39,2,0,,main stem dead,,
unh,eff,2010,283,137,sap,0.9,151,1,0,0,1.04,170,1,0,,0,,,1.31,187,1,0,,,,
unh,eff,2010,284,137,seed,0.3,41,1,0,0,0.31,61,1,0,,0,,,0.33,69,1,0,,,,
unh,eff,2010,285,137,nra,1.57,244,4,0,0,1.75,265,5,2,dah of 1.8 at thickest,11,,,1.89,304,5,0,,,,
unh,eff,2010,286,139,seed,0.23,34,1,0,0,0.25,45,1,0,,0,,,0.31,61,1,0,,,,
unh,eff,2010,287,139,sap,0.77,230,3,0,1,0.82,240,4,3,,7,,,0.91,250,5,1,,Fruit dried,,
unh,eff,2010,288,142,seed,0.32,47,1,0,0,0.33,51,1,0,,NA,,not found,NA,NA,NA,NA,,Missing / Not Found,,
unh,eff,2010,289,142,sap,0.48,81,1,0,0,0.46,93,1,0,very few leaves on plant,0,,,0.48,99,2,0,,,,
unh,eff,2010,348,143,seed,0.28,60,2,0,0,0.35,65,2,0,barberry in plot,0,,,0.36,86,2,0,,,,
unh,eff,2010,349,143,seed,0.21,36,1,0,0,0.24,47,2,0,,NA,,not found,0.25,58,2,0,,"Main stem almost dead, new stem mesurements = dah - 0.21, hgt - 42; 84cm at 320 deg from flag",,
unh,eff,2010,290,144,nra,1.5,267,4,0,0,1.65,326,4,0,,11,,,1.71,367,4,0,,,1.82,
unh,eff,2010,291,144,seed,0.4,42,1,0,0,0.42,69,1,0,,NA,,tag recovered - not on plant,NA,NA,NA,NA,,Tag recovered not on plant,,
unh,eff,2010,292,144,sap,0.73,147,3,0,1,0.75,152,3,0,,0,,,0.72,162,3,0,,,,
unh,eff,2010,293,144,seed,0.22,28,1,0,0,0.26,37,1,0,,0,,,0.26,48,1,0,,,,
unh,eff,2010,295,159,sap,0.56,119,1,0,0,0.6,124,3,0,two small stems,0,,plant leaning over,0.59,138,3,0,,,,
unh,eff,2010,296,159,seed,0.3,42,1,0,0,0.34,64,1,0,,NA,,not found,0.39,82,1,0,,,,
unh,eff,2010,297,159,seed,0.45,73,1,0,0,0.56,101,1,0,,0,,,0.67,133,1,0,,,,
unh,eff,2010,294,160,ra,2.7,348,1,26,0,3.35,380,1,43,dah of 2.75 at thinest,270,30,,2.95,400,1,0,,,3.67,
unh,eff,2010,298,169,seed,0.23,24,1,0,0,0.25,34,1,0,,0,,,0.33,50,1,0,,,,
