subplot,row,column,seedlings,saplings,nr_adults,r_adults,total,fallen_tree,lg_tree
1,1,1,4,0,0,0,4,0,0
2,2,1,8,0,0,0,8,0,0
3,3,1,9,2,0,0,11,0,0
4,4,1,9,3,0,0,12,0,0
5,5,1,8,3,1,0,12,0,0
6,6,1,2,4,3,0,9,0,0
7,7,1,7,1,1,2,11,0,0
8,8,1,5,3,4,1,13,0,0
9,9,1,6,2,2,3,13,0,0
10,10,1,1,2,2,2,7,0,0
11,11,1,0,2,2,1,5,0,0
12,12,1,2,0,1,1,4,0,0
13,13,1,1,0,0,0,1,0,0
14,14,1,0,0,0,0,0,0,0
15,15,1,0,0,0,0,0,0,0
16,1,2,1,0,0,0,1,0,0
17,2,2,4,1,0,0,5,0,0
18,3,2,9,4,0,0,13,0,0
19,4,2,10,1,0,0,11,1,0
20,5,2,1,2,0,1,4,0,0
21,6,2,3,5,0,0,8,0,0
22,7,2,2,1,0,1,4,0,0
23,8,2,0,2,0,1,3,1,0
24,9,2,2,0,1,0,3,1,0
25,10,2,0,1,1,0,2,0,0
26,11,2,2,2,1,0,5,0,0
27,12,2,3,2,0,0,5,0,0
28,13,2,2,0,0,0,2,0,0
29,14,2,0,0,0,0,0,0,0
30,15,2,0,0,0,0,0,0,0
31,1,3,2,0,0,0,2,0,0
32,2,3,4,3,0,0,7,0,0
33,3,3,4,4,0,0,8,0,0
34,4,3,6,2,0,0,8,1,0
35,5,3,1,0,0,0,1,0,0
36,6,3,0,0,1,0,1,0,0
37,7,3,0,1,0,1,2,0,0
38,8,3,0,0,3,1,4,0,0
39,9,3,3,1,0,0,4,1,0
40,10,3,0,0,0,1,1,0,0
41,11,3,1,3,0,2,6,0,0
42,12,3,0,3,0,0,3,0,0
43,13,3,2,0,0,0,2,0,0
44,14,3,1,4,0,0,5,0,0
45,15,3,0,0,0,0,0,0,0
46,1,4,1,2,0,0,3,0,0
47,2,4,7,0,0,0,7,0,0
48,3,4,3,1,0,0,4,1,0
49,4,4,4,2,1,0,7,0,0
50,5,4,1,2,1,0,4,0,0
51,6,4,2,2,0,0,4,0,0
52,7,4,2,1,0,2,5,0,0
53,8,4,1,2,0,2,5,0,0
54,9,4,3,1,1,2,7,0,0
55,10,4,3,0,1,0,4,0,0
56,11,4,2,2,1,0,5,0,0
57,12,4,2,1,0,0,3,0,0
58,13,4,2,0,0,0,2,0,0
59,14,4,0,0,0,0,0,0,0
60,15,4,2,0,0,0,2,0,0
61,1,5,1,1,0,0,2,0,0
62,2,5,11,6,1,0,18,0,0
63,3,5,9,3,0,0,12,0,0
64,4,5,13,3,0,0,16,0,0
65,5,5,5,8,0,0,13,0,0
66,6,5,2,5,0,0,7,0,0
67,7,5,8,3,0,2,13,0,0
68,8,5,7,2,0,0,9,0,0
69,9,5,8,0,1,0,9,0,0
70,10,5,0,0,0,0,0,0,0
71,11,5,1,2,0,0,3,0,0
72,12,5,2,1,1,0,4,0,0
73,13,5,2,0,5,0,7,0,0
74,14,5,2,0,0,0,2,0,0
75,15,5,3,0,0,0,3,0,0
76,1,6,11,1,0,0,12,0,0
77,2,6,21,9,0,0,30,0,0
78,3,6,15,14,0,0,29,0,0
79,4,6,15,12,0,0,27,0,0
80,5,6,7,6,0,0,13,0,0
81,6,6,7,13,0,0,20,0,0
82,7,6,9,2,0,0,11,0,0
83,8,6,6,7,1,2,16,0,0
84,9,6,10,3,0,1,14,0,0
85,10,6,1,0,0,0,1,0,0
86,11,6,7,3,0,0,10,0,0
87,12,6,0,3,1,1,5,0,0
88,13,6,3,2,1,2,8,0,0
89,14,6,0,2,0,1,3,0,0
90,15,6,5,2,1,0,8,0,0
91,1,7,16,8,0,0,24,0,0
92,2,7,17,6,0,0,23,0,0
93,3,7,11,13,0,0,24,0,0
94,4,7,10,7,1,1,19,0,0
95,5,7,14,10,2,0,26,0,0
96,6,7,6,8,1,0,15,0,0
97,7,7,5,0,0,0,5,0,0
98,8,7,10,5,1,0,16,0,0
99,9,7,6,5,3,1,15,0,0
100,10,7,2,7,1,1,11,0,0
101,11,7,11,7,4,1,23,0,0
102,12,7,8,2,0,2,12,0,0
103,13,7,0,0,1,3,4,0,0
104,14,7,0,0,1,0,1,0,0
105,15,7,0,5,1,1,7,0,0
106,1,8,11,8,3,0,22,0,0
107,2,8,6,8,1,0,15,0,0
108,3,8,3,8,0,1,12,0,0
109,4,8,2,6,4,1,13,0,0
110,5,8,3,7,1,0,11,0,0
111,6,8,4,5,0,0,9,0,0
112,7,8,0,0,0,0,0,0,0
113,8,8,0,5,0,0,5,0,0
114,9,8,6,3,2,0,11,0,0
115,10,8,3,9,3,1,16,0,0
116,11,8,9,6,3,0,18,0,0
117,12,8,6,5,0,2,13,0,0
118,13,8,2,6,1,2,11,0,0
119,14,8,1,1,1,1,4,0,0
120,15,8,0,1,1,0,2,0,0
121,1,9,14,6,2,0,22,0,0
122,2,9,4,7,1,0,12,0,0
123,3,9,3,3,0,1,7,0,0
124,4,9,3,4,1,0,8,0,0
125,5,9,6,6,2,0,14,0,0
126,6,9,4,3,3,0,10,0,0
127,7,9,4,3,0,0,7,0,0
128,8,9,5,2,0,0,7,0,0
129,9,9,3,4,1,0,8,0,0
130,10,9,4,8,0,1,13,0,0
131,11,9,4,5,2,3,14,0,0
132,12,9,5,0,4,2,11,0,0
133,13,9,4,3,3,2,12,0,0
134,14,9,3,2,0,2,7,0,0
135,15,9,2,1,2,1,6,0,0
136,1,10,8,5,0,0,13,0,0
137,2,10,5,2,2,1,10,0,0
138,3,10,9,4,0,0,13,0,0
139,4,10,5,4,2,0,11,0,0
140,5,10,11,2,1,0,14,0,0
141,6,10,4,4,1,1,10,0,0
142,7,10,3,3,2,0,8,0,0
143,8,10,3,1,3,0,7,0,0
144,9,10,5,4,1,0,10,0,0
145,10,10,2,3,3,0,8,0,0
146,11,10,4,3,2,1,10,0,0
147,12,10,4,4,2,3,13,0,0
148,13,10,10,0,1,3,14,0,0
149,14,10,3,3,1,3,10,0,0
150,15,10,4,1,0,0,5,0,0
151,1,11,8,3,0,0,11,0,0
152,2,11,0,2,0,0,2,0,0
153,3,11,3,4,2,0,9,0,0
154,4,11,5,2,1,2,10,0,0
155,5,11,6,2,1,4,13,0,0
156,6,11,4,1,1,0,6,0,0
157,7,11,5,5,4,1,15,0,0
158,8,11,3,4,0,1,8,0,0
159,9,11,3,5,2,2,12,0,0
160,10,11,1,2,0,1,4,0,0
161,11,11,1,1,2,1,5,0,0
162,12,11,1,7,0,1,9,0,0
163,13,11,0,3,0,0,3,0,0
164,14,11,2,4,0,2,8,0,0
165,15,11,3,1,4,1,9,0,0
166,1,12,0,0,1,0,1,1,0
167,2,12,0,0,0,0,0,1,0
168,3,12,1,0,0,1,2,1,0
169,4,12,3,6,1,0,10,0,0
170,5,12,7,3,2,1,13,0,0
171,6,12,6,10,0,1,17,0,0
172,7,12,0,5,1,0,6,0,0
173,8,12,1,6,4,2,13,0,0
174,9,12,0,4,1,1,6,1,0
175,10,12,2,2,0,1,5,0,0
176,11,12,3,3,1,1,8,0,0
177,12,12,4,5,0,2,11,0,0
178,13,12,1,0,5,0,6,0,0
179,14,12,2,0,1,3,6,0,0
180,15,12,3,0,2,1,6,0,0
181,1,13,6,0,0,0,6,0,0
182,2,13,14,2,0,0,16,0,0
183,3,13,13,8,0,0,21,0,0
184,4,13,10,9,2,0,21,0,0
185,5,13,4,3,1,3,11,0,0
186,6,13,3,5,1,0,9,0,0
187,7,13,5,4,1,2,12,0,0
188,8,13,1,4,0,1,6,0,0
189,9,13,0,2,1,0,3,0,0
190,10,13,5,5,2,0,12,0,0
191,11,13,0,3,0,1,4,0,0
192,12,13,1,1,0,2,4,0,0
193,13,13,9,0,3,0,12,0,0
194,14,13,1,0,1,1,3,0,0
195,15,13,5,3,0,0,8,0,0
196,1,14,2,0,0,0,2,0,0
197,2,14,27,0,0,0,27,0,1
198,3,14,15,11,0,0,26,0,0
199,4,14,4,7,0,1,12,1,0
200,5,14,6,3,0,1,10,0,0
201,6,14,7,9,1,0,17,0,0
202,7,14,7,5,2,0,14,0,0
203,8,14,3,2,1,0,6,0,0
204,9,14,1,4,2,0,7,0,0
205,10,14,3,0,0,0,3,0,0
206,11,14,3,0,0,0,3,0,0
207,12,14,2,1,0,0,3,0,1
208,13,14,5,0,0,0,5,0,0
209,14,14,5,0,0,0,5,0,0
210,15,14,2,1,0,1,4,0,0
211,1,15,2,1,0,0,3,0,0
212,2,15,5,2,0,1,8,0,0
213,3,15,10,6,2,0,18,0,0
214,4,15,7,8,0,0,15,0,0
215,5,15,4,2,1,1,8,0,0
216,6,15,3,4,0,0,7,0,0
217,7,15,5,6,0,0,11,0,1
218,8,15,7,3,0,0,10,0,0
219,9,15,2,1,2,0,5,0,1
220,10,15,0,3,1,0,4,0,0
221,11,15,0,1,1,1,3,0,0
222,12,15,1,2,1,0,4,0,1
223,13,15,0,0,0,0,0,0,1
224,14,15,0,0,0,0,0,0,0
225,15,15,4,0,1,0,5,0,1
