location,site,year1stTag,transect,tag,tran_local,height2010,dah2010,dbh2010,basal_stems2010,fruits2010,damage,cano_close,flowers,comments,dah2011,height2011,fruit2011,stems2011,tag_recovered,dah.2012,hgt.2012,basal.stems,fruit,comments
wmnf,winn,2010,3,55,7.07,67.9,0.29,-,1,0,0,0,,,0.57,,,,0,0.61,48,1,,
wmnf,winn,2010,3,56,7.79,81.9,0.32,-,1,0,0,0,,,0.61,,,,0,0.21,31,4,,tag stem dead
wmnf,winn,2010,3,57,7.79,36.2,0.15,-,1,0,0,0,,,0.35,,,,0,0.2,29,1,,tag stem dead
wmnf,winn,2010,3,59,7.83,47.6,0.25,-,1,0,0,0,,,0.47,,,,0,0.54,46,2,,
wmnf,winn,2010,3,60,8.05,90.6,0.51,-,1,0,0,0,,,0.97,,,,0,0.37,47,3,,tag stem dead
wmnf,winn,2010,3,62,8.59,83.6,0.44,-,1,0,0,0,,,0.78,,,,0,0.78,54,3,,
wmnf,winn,2010,3,63,8.75,36.1,0.21,-,1,0,0,0,,,0.44,,,,0,0.24,37,2,,tag stem dead
wmnf,winn,2010,3,64,8.86,38.5,0.27,-,1,0,0,0,,,0.43,,,,0,0.2,23,2,,tag stem dead
wmnf,winn,2010,3,65,8.96,63.2,0.41,-,1,0,0,0,,,0.55,,,,0,NA,NA,NA,,dead - tag recovered
wmnf,winn,2010,3,67,9.1,51.1,0.32,-,1,0,0,0,,,0.6,,,,0,0.68,45,2,,
wmnf,winn,2010,3,69,9.41,33.7,0.22,-,3,0,0,0,,,0.35,,,,0,0.3,25,2,,
wmnf,winn,2010,3,70,9.66,49,0.35,-,1,0,0,0,,,0.44,,,,0,0.21,34,1,,tag stem dead
wmnf,winn,2010,3,71,9.45,39,0.19,-,1,0,0,0,,,0.32,,,,0,0.36,32,1,,
wmnf,winn,2010,3,77,10.8,24.3,0.16,-,1,0,0,0,,,0.27,,,,0,0.15,17,2,,tag stem dead
wmnf,winn,2010,3,78,10.83,15.5,0.14,-,1,0,0,0,,,0.19,,,,0,0.19,13,1,,
wmnf,winn,2010,3,79,10.94,18.1,0.13,-,1,0,0,0,,,0.16,,,,0,0.22,17,1,,
wmnf,winn,2010,3,82,10.94,50.1,0.25,-,1,0,0,0,,,0.41,,,,0,0.32,41,2,,new growth is sprout from old
wmnf,winn,2010,3,84,11.89,87.5,0.46,-,1,0,0,0,,,0.64,,,,0,0.8,123,2,,
wmnf,winn,2010,3,85,11.8,34.5,0.23,-,1,0,0,0,,,0.28,,,,0,0.21,25,1,,tag stem dead
wmnf,winn,2010,3,86,11.8,25.8,0.19,-,1,0,0,0,,,0.26,,,,0,0.33,33,1,,
wmnf,winn,2010,3,87,11.8,19.5,0.12,-,1,0,0,0,,,0.17,,,,0,0.2,13,1,,
wmnf,winn,2010,3,88,12.24,25.6,0.17,-,1,0,0,0,,,0.28,,,,0,NA,NA,NA,,tag recovered
wmnf,winn,2010,3,89,12.28,71.7,0.33,-,2,0,1,0,,,0.48,,,,0,0.54,56,3,,
wmnf,winn,2010,3,90,12.6,18.7,0.08,-,1,0,0,0,,,0.21,,,,0,0.21,13,1,,
wmnf,winn,2010,3,97,14.21,102.6,0.4,-,1,0,0,25,,,0.5,,,,0,0.53,43,1,,
wmnf,winn,2010,3,99,13.9,52.2,0.34,-,2,0,0,20,,,0.3,,,,0,0.28,36,1,,
wmnf,winn,2010,3,107,14.95,149.5,0.52,0.27,1,0,1,40,,,0.63,,,,0,NA,NA,NA,,missing
wmnf,winn,2010,3,110,15.46,81.7,1.16,-,4,0,1,50,,completely cut with resprouts,1.15,,,,0,NA,NA,NA,,dead - tag recovered
wmnf,winn,2010,3,112,16.1,98.6,0.45,-,1,0,1,75,,,0.57,,,,0,0.52,42,1,,
wmnf,winn,2010,3,115,16.1,99.5,0.45,-,1,0,0,75,,,0.61,,,,0,0.35,45,1,,tag stem dead
wmnf,winn,2010,3,116,16.25,37.2,0.46,-,3,0,1,75,,,0.54,,,,0,NA,NA,NA,,tag recovered
wmnf,winn,2010,3,118,16.29,98.8,0.67,-,1,0,1,75,,,0.72,,,,0,NA,NA,NA,,missing
wmnf,winn,2010,3,119,16.29,88.5,0.65,-,1,0,1,75,,,0.69,,,,0,NA,NA,NA,,tag recovered
wmnf,winn,2010,3,129,17.25,77.3,0.27,-,9,0,1,80,,,0.29,,,,0,NA,NA,NA,,tag recovered
wmnf,winn,2010,3,131,17.33,83.2,0.34,-,1,0,0,80,,,0.44,,,,0,0.48,52,1,,
wmnf,winn,2010,3,133,17.52,60.5,0.77,-,5,0,1,80,,all new shoots,0.78,,,,0,NA,NA,NA,,missing
wmnf,winn,2010,3,139,18.19,98.9,0.49,-,2,0,1,80,,,0.59,,,,0,0.57,32,3,,
wmnf,winn,2010,3,140,18.26,95.4,0.48,-,1,0,1,80,,,0.64,,,,0,0.62,29,3,,
wmnf,winn,2010,3,145,19.5,104.2,0.52,-,9,0,1,75,,,0.7,,,,0,0.65,34,2,,height for the tallest stem = 62
wmnf,winn,2010,3,146,19.98,123.8,0.6,-,4,0,1,60,,,0.98,,,,0,0.3,32,5,,tag stem dead
wmnf,winn,2010,3,149,19.53,50.1,0.29,-,1,0,0,70,,,0.33,,,,0,0.27,27,1,,
wmnf,winn,2010,3,150,19.72,61.9,0.35,-,1,0,1,65,,,0.43,,,,0,0.48,42,1,,
wmnf,winn,2010,3,153,20.31,122.4,0.59,-,2,0,1,60,,,0.71,,,,0,0.27,40,1,,tag stem dead
wmnf,winn,2010,3,159,22.94,170.1,0.94,0.4,3,1,1,40,,,1.12,,,,0,0.37,46,3,,tag stem dead
wmnf,winn,2010,2,19,14.85,130.8,0.83,-,1,7,1,0,,,,,,,1,,,,,
wmnf,winn,2010,2,22,16.23,126.5,0.53,-,3,1,1,5,,,,,,,1,,,,,
wmnf,winn,2010,2,46,18.22,67.3,0.41,-,1,0,1,50,,,,,,,1,,,,,
wmnf,winn,2010,3,52,6.94,99.2,0.52,-,1,0,0,0,1,,,,,,1,,,,,
wmnf,winn,2010,3,66,8.99,134.1,0.76,-,1,0,0,0,,,,,,,1,,,,,
wmnf,winn,2010,3,73,10.05,213,1.3,0.68,5,30,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,74,10.15,247,1.35,0.87,3,50,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,76,10.39,184.2,1.08,0.41,1,6,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,80,10.94,113.2,0.57,-,1,0,0,0,,,,,,,1,,,,,
wmnf,winn,2010,3,81,11.24,198.1,0.85,0.46,1,0,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,83,11.5,290,1.61,0.85,11,1,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,91,13.02,186.7,1.05,0.38,2,0,1,0,,,,,,,1,,,,,
wmnf,winn,2010,3,92,13.16,233,1.2,0.57,4,5,1,5,1,,,,,,1,,,,,
wmnf,winn,2010,3,93,13.44,239,1.38,0.72,3,0,1,10,,,,,,,1,,,,,
wmnf,winn,2010,3,95,13.62,214,1.27,0.71,3,3,1,10,1,,,,,,1,,,,,
wmnf,winn,2010,3,96,14.21,191.5,0.7,0.42,5,0,1,25,,,,,,,1,,,,,
wmnf,winn,2010,3,98,13.75,175.9,0.73,0.35,2,0,1,20,,,,,,,1,,,,,
wmnf,winn,2010,3,100,14.5,163.5,0.77,0.38,12,0,1,50,,,,,,,1,,,,,
wmnf,winn,2010,3,101,14.24,192.5,0.71,0.44,2,0,1,30,,,,,,,1,,,,,
wmnf,winn,2010,3,105,14.73,198.3,0.78,0.37,2,0,1,30,,possibly incorrect height recorded,,,,,1,,,,,
wmnf,winn,2010,3,106,14.9,117.4,0.54,-,3,0,1,40,,,,,,,1,,,,,
wmnf,winn,2010,3,108,15.19,172.2,1.12,0.34,8,0,1,40,,,,,,,1,,,,,
wmnf,winn,2010,3,111,15.88,221.5,0.93,0.51,3,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,113,16.1,119.6,0.5,-,3,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,114,16.1,153,0.69,0.23,3,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,117,15.77,83.5,0.68,-,1,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,120,16.35,192.3,0.98,0.4,2,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,122,16.54,186.3,1.23,0.33,1,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,124,16.86,170.6,0.94,0.37,2,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,125,16.55,238,1.12,0.63,2,0,1,75,,,,,,,1,,,,,
wmnf,winn,2010,3,126,16.69,202,0.78,0.45,1,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,127,16.92,198.1,0.82,0.46,1,0,1,80,,flagged another tree near by sharing same root system,,,,,1,,,,,
wmnf,winn,2010,3,130,17.49,137.1,0.51,-,4,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,134,17.63,200.5,0.96,0.5,2,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,136,18.06,176.8,0.96,0.36,1,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,137,17.94,135.3,0.63,-,2,0,0,80,,,,,,,1,,,,,
wmnf,winn,2010,3,138,18.08,26.3,0.18,-,1,0,0,80,,,,,,,1,,,,,
wmnf,winn,2010,3,142,18.74,163.6,0.85,0.3,3,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,143,18.6,217.5,1.2,0.59,7,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,144,18.74,163.6,0.85,0.3,3,0,1,80,,,,,,,1,,,,,
wmnf,winn,2010,3,147,19.15,164.3,1.36,0.34,2,0,1,70,,,,,,,1,,,,,
wmnf,winn,2010,3,160,22.99,189,0.99,0.56,5,0,1,40,,,,,,,1,,,,,
wmnf,winn,2010,3,161,23.29,123.2,0.62,-,3,0,1,30,,,,,,,1,,,,,
wmnf,winn,2010,3,162,23.62,90.9,0.53,-,2,0,0,30,,,,,,,1,,,,,
wmnf,winn,2010,3,163,23.87,13.3,0.1,-,1,0,0,30,,,,,,,1,,,,,
wmnf,winn,2010,1,1,1.59,74.4,0.54,-,1,0,1,25,,,,,,,,,,,,
wmnf,winn,2010,1,2,2.69,46.2,0.36,-,1,0,1,25,,,,,,,,,,,,
wmnf,winn,2010,1,6,4.95,50.6,0.35,-,1,0,1,50,,,,,,,,,,,,
wmnf,winn,2010,1,7,5.24,17.5,0.19,-,1,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,14,5.6,25,0.21,-,1,0,1,40,,,,,,,,,,,,
wmnf,winn,2010,1,15,10.5,25,0.2,-,1,0,1,25,,,,,,,,,,,,
wmnf,winn,2010,1,16,20.47,163.3,1.51,0.23,4,90,1,0,,,,,,,,,,,,
wmnf,winn,2010,2,17,3.9,161,1.35,0.27,5,180,1,0,,,,,,,,,,,,
wmnf,winn,2010,2,29,22.5,230,1.2,0.55,5,20,1,70,,,,,,,,,,,,
wmnf,winn,2010,1,30,3.9,173.3,1.37,0.34,2,50,1,70,,,,,,,,,,,,
wmnf,winn,2010,1,31,4.05,102.6,0.68,-,1,0,0,70,,,,,,,,,,,,
wmnf,winn,2010,1,32,4.34,182,0.96,0.43,3,12,1,60,,,,,,,,,,,,
wmnf,winn,2010,1,33,5.24,16.1,0.15,-,1,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,34,5.24,15.7,0.14,-,1,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,35,5.24,10.5,0.11,-,1,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,36,5.89,21.1,0.18,-,1,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,37,7.03,157.8,0.82,0.37,4,5,1,30,,,,,,,,,,,,
wmnf,winn,2010,1,38,7.63,101.1,0.63,-,2,0,1,70,,,,,,,,,,,,
wmnf,winn,2010,1,39,8.19,22.3,0.18,-,2,0,0,40,,,,,,,,,,,,
wmnf,winn,2010,1,40,9.15,12,0.09,-,1,0,0,30,,,,,,,,,,,,
wmnf,winn,2010,1,41,16.55,135.7,0.93,-,1,25,1,0,,,,,,,,,,,,
wmnf,winn,2010,1,42,17.59,16.5,0.12,-,1,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,2,43,2.4,171.7,1.05,0.34,1,48,0,0,,,,,,,,,,,,
wmnf,winn,2010,2,44,10.8,135.5,0.8,-,1,5,0,0,,,,,,,,,,,,
wmnf,winn,2010,2,45,17.31,205,1.32,0.43,2,74,1,5,,,,,,,,,,,,
wmnf,winn,2010,2,47,24.41,23.9,0.18,-,1,0,0,30,,,,,,,,,,,,
wmnf,winn,2010,3,48,0.98,216,1.43,0.69,3,31,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,49,3.36,229.5,1.4,0.66,10,230,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,50,4.35,255.3,1.33,0.77,11,100,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,51,6.34,30.8,0.16,-,1,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,3,53,7.27,102.3,0.43,-,2,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,3,54,7.07,97.2,0.53,-,1,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,3,58,7.82,85.1,0.39,-,1,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,3,61,8.84,216,1.23,0.59,4,22,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,68,9.38,195.8,1.02,0.5,7,10,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,72,9.74,186.4,1.24,0.46,3,35,1,0,,,,,,,,,,,,
wmnf,winn,2010,3,75,10.03,14.3,0.08,-,1,0,0,0,,,,,,,,,,,,
wmnf,winn,2010,3,94,13.44,188,0.67,0.41,3,0,1,10,,,,,,,,,,,,
wmnf,winn,2010,3,102,14.45,212.5,0.93,0.51,1,0,1,30,,,,,,,,,,,,
wmnf,winn,2010,3,104,14.63,60.2,0.27,-,3,0,1,30,,,,,,,,,,,,
wmnf,winn,2010,3,109,15.12,213,0.91,0.52,1,0,1,40,,,,,,,,,,,,
wmnf,winn,2010,3,121,16.5,165.2,0.69,0.29,4,0,1,75,,,,,,,,,,,,
wmnf,winn,2010,3,123,16.72,120.8,0.75,-,1,0,1,75,,,,,,,,,,,,
wmnf,winn,2010,3,128,17.19,122.5,0.54,-,6,0,0,80,,,,,,,,0.69,70,7,,
wmnf,winn,2010,3,132,17.52,178.2,0.84,0.4,2,3,1,80,,,,,,,,NA,NA,NA,,tag recovered - found by plant no. 110
wmnf,winn,2010,3,135,18.06,198.3,0.97,0.43,6,0,1,80,,,,,,,,,,,,
wmnf,winn,2010,3,141,18.6,159.1,0.76,0.28,5,0,1,80,,,,,,,,,,,,
wmnf,winn,2010,3,148,19.26,83.7,0.44,-,5,0,1,70,,,,,,,,,,,,
